   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:172(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:175(_Condition)
        2    0.000    0.000    0.000    0.000 threading.py:177(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:217(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:284(notify)
        1    0.000    0.000    0.000    0.000 threading.py:302(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:311(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:369(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:381(Event)
        1    0.000    0.000    0.000    0.000 threading.py:384(_Event)
        1    0.000    0.000    0.000    0.000 threading.py:388(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:402(set)
        1    0.000    0.000    0.000    0.000 threading.py:43(_Verbose)
        1    0.000    0.000    0.000    0.000 threading.py:439(Barrier)
        4    0.000    0.000    0.000    0.000 threading.py:45(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:50(_note)
        1    0.000    0.000    0.000    0.000 threading.py:595(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 threading.py:615(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:627(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:719(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:923(_Timer)
        1    0.000    0.000    0.000    0.000 threading.py:95(_RLock)
        1    0.000    0.000    0.000    0.000 threading.py:952(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:954(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:961(_set_daemon)
        1    0.000    0.000    0.000    0.000 threading.py:992(_DummyThread)
        1    0.000    0.000    0.000    0.000 {built-in method LoadLibrary}
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
      139    0.003    0.000    0.004    0.000 {built-in method __build_class__}
   322266    0.076    0.000    0.076    0.000 {built-in method __new__ of type object at 0x1E1E0BE8}
      129    0.000    0.000    0.000    0.000 {built-in method _flatten}
        1    0.000    0.000    0.000    0.000 {built-in method _getframe}
        6    0.000    0.000    0.000    0.000 {built-in method _isdir}
   331633    0.048    0.000    0.048    0.000 {built-in method abs}
        3    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
